EVENT_ID_CNTY,EVENT_DATE,YEAR,TIME_PRECISION,DISORDER_TYPE,EVENT_TYPE,SUB_EVENT_TYPE,ACTOR1,ASSOC_ACTOR_1,INTER1,ACTOR2,ASSOC_ACTOR_2,INTER2,INTERACTION,CIVILIAN_TARGETING,ISO,REGION,COUNTRY,ADMIN1,ADMIN2,ADMIN3,LOCATION,LATITUDE,LONGITUDE,GEO_PRECISION,SOURCE,SOURCE_SCALE,NOTES,FATALITIES,TAGS,TAGS_INFRASTRUCTURE
UKR214054,2025-03-21,2025,1,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of Russia (2000-) Air Force,,External/Other forces,,,,External/Other forces only,,804,12,Ukraine,Kharkiv,Bohodukhivskyi,Bohodukhivska,Ivano-Shyichyne,50.27,35.62,1,Ministry of Defence of Ukraine,Other,"On 21 March 2025, Russian forces hit Ivano-Shyichyne, Kharkiv, suspectedly with a FPV-drone, damaging a residential building. Casualties unknown.",0,,Residential
UKR214059,2025-03-21,2025,1,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of Russia (2000-) Air Force,,External/Other forces,,,,External/Other forces only,,804,12,Ukraine,Khmelnytskyi,Khmelnytskyi,Khmelnytska,Khmelnytskyi,49.413,26.998,3,Suspilne Media,National,"On 21 March 2025, Russian drones struck the Khmelnytskyi region (coded to Khmelnytskyi, Khmelnytskyi), damaging residential buildings. The Ukrainian military intercepted 6 drones. Casualties unknown.",0,,Residential
UKR214063,2025-03-21,2025,1,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of Russia (2000-) Air Force,,External/Other forces,Civilians (Ukraine),,Civilians,External/Other forces-Civilians,Civilian targeting,804,12,Ukraine,Sumy,Sumskyi,Krasnopilska,Krasnopillia,50.775,35.26,1,Ministry of Defence of Ukraine,Other,"On 21 March 2025, Russian air forces struck Krasnopillia, Sumy, damaging residential buildings, outbuildings, a cultural facility and a village council. 2 civilians were killed, 1 wounded.",2,local administrators,Residential
UKR214075,2025-03-21,2025,1,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of Russia (2000-) Air Force,Military Forces of Russia (2000-),External/Other forces,Civilians (Ukraine),,Civilians,External/Other forces-Civilians,Civilian targeting,804,12,Ukraine,Dnipropetrovsk,Nikopolskyi,Nikopolska,Nikopol,47.571,34.396,2,Suspilne Media,National,"On 21 March 2025, Russian drones and artillery struck Nikopol district (coded to Nikopol, Dnipropetrovsk), damaging residential buildings and civilian infrastructure. A civilian was wounded.",0,,Residential
UKR214082,2025-03-21,2025,1,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of Russia (2000-) Air Force,,External/Other forces,,,,External/Other forces only,,804,12,Ukraine,Sumy,Okhtyrskyi,Okhtyrska,Okhtyrka,50.31,34.899,1,Ministry of Defence of Ukraine,Other,"On 21 March 2025, Russian forces hit Okhtyrka, Sumy, suspectedly with Shahed-drones, damaging a gas-station and an educational facility. Casualties unknown.",0,,Education
UKR214089,2025-03-21,2025,1,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of Russia (2000-) Air Force,Military Forces of Russia (2000-),External/Other forces,,,,External/Other forces only,,804,12,Ukraine,Sumy,Sumskyi,Krasnopilska,Porozok,50.562,35.373,1,Ministry of Defence of Ukraine,Other,"On 21 March 2025, Russian forces hit Porozok, Sumy, suspectedly with a bomber-drone and mortars, damaging a residential building. Casualties unknown.",0,,Residential
UKR214101,2025-03-21,2025,1,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of Russia (2000-) Air Force,,External/Other forces,,,,External/Other forces only,,804,12,Ukraine,Sumy,Sumskyi,Nyzhnosyrovatska,Stare Selo,50.826,34.808,1,Ministry of Defence of Ukraine,Other,"On 21 March 2025, Russian forces hit Stare Selo, Sumy, suspectedly with Shahed-drones, damaging residential buildings. Casualties unknown.",0,,Residential
UKR214113,2025-03-21,2025,1,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of Russia (2000-) Air Force,,External/Other forces,Civilians (Ukraine),,Civilians,External/Other forces-Civilians,Civilian targeting,804,12,Ukraine,Zaporizhia,Zaporizkyi,Zaporizka,Zaporizhia,47.848,35.16,1,24 Channel; Suspilne Media,National,"On 21 March 2025, around 20 Russian drones struck Zaporizhia, Zaporizhia, damaging residential buildings and civilian infrastructure. 3 civilians were killed, 16 were wounded, including a 9-month old baby.",3,,Residential
UKR214136,2025-03-21,2025,1,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of Ukraine (2019-) Air Force,,State forces,Military Forces of Russia (2000-) 1st Donetsk Army Corps,Civilians (Ukraine),External/Other forces,State forces-External/Other forces,,804,12,Ukraine,Donetsk,Horlivskyi,Horlivska,Horlivka,48.313,38.042,1,DPR Armed Forces Press Service,Other,"On 21 March 2025, Ukrainian drones struck DPR's forces in Horlivka, Donetsk, residential buildings. A civilian was wounded.",0,,Residential
UKR214898,2025-03-21,2025,1,Political violence,Explosions/Remote violence,Shelling/artillery/missile attack,Military Forces of Russia (2000-),,External/Other forces,Civilians (Ukraine),,Civilians,External/Other forces-Civilians,Civilian targeting,804,12,Ukraine,Donetsk,Kramatorskyi,Lymanska,Lyman,48.99,37.806,1,Suspilne Media,National,"On 21 March 2025, Russian military forces hit (likely by artillery as the most common event) Lyman, Donetsk, damaging residential buildings. 2 civilians were wounded.",0,,Residential
UKR214002,2025-03-20,2025,1,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of Russia (2000-) Air Force,,External/Other forces,Civilians (Ukraine),,Civilians,External/Other forces-Civilians,Civilian targeting,804,12,Ukraine,Donetsk,Kramatorskyi,Kramatorska,Kramatorsk,48.731,37.582,1,Suspilne Media; Ukrinform; ZMINA,Other-National,"On 20 March 2025, Russian forces conducted drone and ballistic missile strikes on Kramatorsk, Donetsk. For the second strike, Russian forces targeted the first location in the aftermath of the first strike. An industrial area was targeted. Educational buildings and apartment buildings were damaged. Four civilians were wounded.",0,,Residential
UKR214003,2025-03-20,2025,1,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of Russia (2000-) Air Force,,External/Other forces,Civilians (Ukraine),,Civilians,External/Other forces-Civilians,Civilian targeting,804,12,Ukraine,Sumy,Sumskyi,Krasnopilska,Krasnopillia,50.775,35.26,2,Ministry of Defence of Ukraine,Other,"On 20 March 2025, Russian forces conducted KAB strikes near Krasnopillia, Sumy. A private house was destroyed. An apartment building, hospital warehouses, and a shopping center were damaged. 1 civilian was wounded. 3 civilians were killed.",3,,Health; Residential
UKR214004,2025-03-20,2025,1,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of Russia (2000-) Air Force,,External/Other forces,Civilians (Ukraine),,Civilians,External/Other forces-Civilians,Civilian targeting,804,12,Ukraine,Kirovohrad,Kropyvnytskyi,Kropyvnytska,Kropyvnytskyi,48.515,32.254,1,Ukrinform,National,"On 20 March 2025, Russian forces launched 21 drones on Kropyvnytskyi, Kirovohrad. 70 private homes and 17 apartment buildings were damaged. 14 civilians were wounded.",0,,Residential
UKR214011,2025-03-20,2025,1,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of Russia (2000-) Air Force,,External/Other forces,Civilians (Ukraine),,Civilians,External/Other forces-Civilians,Civilian targeting,804,12,Ukraine,Dnipropetrovsk,Synelnykivskyi,Mezhivska,Mezhova,48.253,36.735,2,Suspilne Media,National,"On 20 March 2025, Russian forces conducted strikes KAB and drone strikes near Mezhova, Dnipropetrovsk. An agricultural enterprise, private homes, and an outbuilding were damaged. A civilian was wounded.",0,,Residential
UKR214015,2025-03-20,2025,1,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of Russia (2000-) Air Force,,External/Other forces,Civilians (Ukraine),,Civilians,External/Other forces-Civilians,Civilian targeting,804,12,Ukraine,Dnipropetrovsk,Nikopolskyi,Nikopolska,Nikopol,47.571,34.396,2,Suspilne Media,National,"On 20 March 2025, Russian forces conducted strikes with artillery and drones near Nikopol, Dnipropetrovsk. A private house and garage were damaged. A civilian was wounded. Another civilian was killed.",1,,Residential
UKR214019,2025-03-20,2025,1,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of Russia (2000-) Air Force,,External/Other forces,Civilians (Ukraine),,Civilians,External/Other forces-Civilians,Civilian targeting,804,12,Ukraine,Odesa,Odeskyi,Odeska,Odesa,46.464,30.739,1,Unian,National,"On 20 March 2025, Russian forces conducted air and drone strikes on Odesa, Odesa. Civil infrastructure was damaged, including a residential high-rise building, a shopping center, shops, and private homes. Power outages occurred in the city. Three civilians were injured.",0,,Energy; Residential
UKR214023,2025-03-20,2025,1,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of Russia (2000-) Air Force,,External/Other forces,,,,External/Other forces only,,804,12,Ukraine,Chernihiv,Novhorod-Siverskyi,Semenivska,Semenivka,52.178,32.582,2,Ministry of Defence of Ukraine,Other,"On 20 March 2025, Russian forces conducted FPV drone strikes near Semenivka, Chernihiv. A private house was damaged. Casualties unknown.",0,,Residential
UKR214132,2025-03-20,2025,1,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of Ukraine (2019-) Air Force,,State forces,Military Forces of Russia (2000-) 1st Donetsk Army Corps,Civilians (Ukraine),External/Other forces,State forces-External/Other forces,,804,12,Ukraine,Donetsk,Horlivskyi,Horlivska,Horlivka,48.313,38.042,1,DPR Armed Forces Press Service,Other,"On 20 March 2025, Ukrainian forces conducted drone strikes on an unidentified target (coded as 1st Donetsk Army Corps) in Horlivka, Donetsk. Power supply structures, an educational institution, a community center, an apartment building, and a gas pipeline were damaged. One civilian was wounded. One civilian was killed.",1,,Education; Energy; Residential
UKR214427,2025-03-20,2025,1,Political violence,Explosions/Remote violence,Shelling/artillery/missile attack,Military Forces of Russia (2000-),,External/Other forces,,,,External/Other forces only,,804,12,Ukraine,Sumy,Sumskyi,Krasnopilska,Slavhorod,50.589,35.355,2,Ministry of Defence of Ukraine,Other,"On 20 March 2025, Russian forces shelled near Slavhorod, Sumy, w ith 122mm artillery. A private house and a municipal facility were damaged. Casualties unknown.",0,,Residential
UKR213917,2025-03-19,2025,1,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of Russia (2000-) Air Force,,External/Other forces,,,,External/Other forces only,,804,12,Ukraine,Kyiv,Boryspilskyi,Boryspilska,Boryspil,50.353,30.955,2,Novoye Vremya Ukraine,National,"On 19 March 2025, Russian forces launched a drone strike at Boryspil district, Kyiv, damaging residential buildings. Casualties unknown.",0,,Residential
UKR213919,2025-03-19,2025,1,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of Russia (2000-) Air Force,,External/Other forces,Civilians (Ukraine),,Civilians,External/Other forces-Civilians,Civilian targeting,804,12,Ukraine,Kyiv,Buchanskyi,Buchanska,Bucha,50.544,30.212,2,Novoye Vremya Ukraine; Ukrinform,National,"On 19 March 2025, Russian forces launched a drone strike at Bucha district, Kyiv, damaging 20 two-storey apartment blocks, 15 private houses and 19 cars, and injuring 2 civilians.",0,,Residential
UKR213924,2025-03-19,2025,1,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of Russia (2000-) Air Force,,External/Other forces,,,,External/Other forces only,,804,12,Ukraine,Kyiv,Fastivskyi,Fastivska,Fastiv,50.077,29.918,2,Novoye Vremya Ukraine,National,"On 19 March 2025, Russian forces launched a drone strike at Fastiv district, Kyiv, damaging residential buildings. Casualties unknown.",0,,Residential
UKR213936,2025-03-19,2025,1,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of Russia (2000-) Air Force,,External/Other forces,Civilians (Ukraine),,Civilians,External/Other forces-Civilians,Civilian targeting,804,12,Ukraine,Sumy,Sumskyi,Krasnopilska,Krasnopillia,50.775,35.26,2,Ministry of Defence of Ukraine; Novoye Vremya Ukraine; Suspilne Media,Other-National,"On 19 March 2025, Russian Forces launched suspected drone strikes in Krasnopillia territorial community, Sumy, hitting a hospital. 1 civilian was injured.",0,,Health
UKR213937,2025-03-19,2025,1,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of Russia (2000-) Air Force,,External/Other forces,,,,External/Other forces only,,804,12,Ukraine,Zaporizhia,Zaporizkyi,Kushuhumska,Malokaterynivka,47.655,35.256,1,Suspilne Media,National,"On 19 March 2025, Russian forces struck Malokaterynivka, Zaporizhia, with drones. A blast wave and shrapnel damaged a private house and a playground. Casualties unknown.",0,,Residential
UKR213948,2025-03-19,2025,1,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of Russia (2000-) Air Force,,External/Other forces,,,,External/Other forces only,,804,12,Ukraine,Kyiv,Obukhivskyi,Obukhivska,Obukhiv,50.107,30.619,2,Novoye Vremya Ukraine,National,"On 19 March 2025, Russian forces launched a drone strike at Obukhiv district, Kyiv, damaging residential buildings. Casualties unknown.",0,,Residential
UKR213957,2025-03-19,2025,1,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of Russia (2000-) Air Force,,External/Other forces,,,,External/Other forces only,,804,12,Ukraine,Sumy,Shostkynskyi,Seredyno-Budska,Rozhkovychi,52.105,34.081,1,Ministry of Defence of Ukraine,Other,"On 19 March 2025, Russian forces launched a suspected drone strike at Rozhkovychi, Sumy, damaging 3 residential buildings. Casualties unknown.",0,,Residential
UKR213958,2025-03-19,2025,1,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of Russia (2000-) Air Force,,External/Other forces,,,,External/Other forces only,,804,12,Ukraine,Sumy,Sumskyi,Krasnopilska,Samotoivka,50.811,35.148,2,Ministry of Defence of Ukraine,Other,"On 19 March 2025, Russian forces launched suspected guided aerial bombs near Samotoivka, Sumy. The shelling damaged an educational institution and a vehicle. Casualties unknown.",0,,Education
UKR213959,2025-03-19,2025,1,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of Russia (2000-) Air Force,,External/Other forces,,,,External/Other forces only,,804,12,Ukraine,Sumy,Shostkynskyi,Seredyno-Budska,Seredyna-Buda,52.189,34.036,2,Ministry of Defence of Ukraine; Suspilne Media,Other-National,"On 19 March 2025, Russian forces launched a suspected drone strike near Seredyna-Buda, Sumy. The shelling damaged 2 multi-storey buildings and destroyed a private house. Casualties unknown.",0,,Residential
UKR213960,2025-03-19,2025,1,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of Russia (2000-) Air Force,,External/Other forces,,,,External/Other forces only,,804,12,Ukraine,Sumy,Okhtyrskyi,Velykopysarivska,Shevchenkove,50.353,35.577,2,Ministry of Defence of Ukraine,Other,"On 19 March 2025, Russian forces launched a suspected drone strike near Shevchenkove, Sumy, damaging a residential house. Casualties unknown.",0,,Residential
UKR214500,2025-03-19,2025,1,Political violence,Battles,Armed clash,Military Forces of Russia (2000-),,External/Other forces,Military Forces of Ukraine (2019-),,State forces,State forces-External/Other forces,,804,12,Ukraine,Kherson,Khersonskyi,Khersonska,Kherson,46.656,32.618,3,Ministry of Defence of Ukraine,Other,"On 19 March 2025, during the day, Ukrainian forces killed 115 Russian soldiers and destroyed 15 artillery systems, 44 vehicles and armored vehicles, 12 ATVs, 13 motorcycles, 5 boats, 4 electronic warfare systems, 1 surveillance camera, 3 generators, 1 transformer, 5 communication antennas, 59 shelters/bunkers, 4 observation posts, 1 firing position, 2 ammunition storage sites, 4 vehicle depots 1 field fuel depot in Kherson region (coded to Kherson, Kherson).",115,,Energy
UKR214833,2025-03-19,2025,1,Political violence,Explosions/Remote violence,Shelling/artillery/missile attack,Military Forces of Russia (2000-),,External/Other forces,,,,External/Other forces only,,804,12,Ukraine,Zaporizhia,Zaporizkyi,Komyshuvaska,Komyshuvakha,47.715,35.524,1,Suspilne Media,National,"On 19 March 2025, Russian forces shelled Komyshuvakha, Zaporizhia, damaging and destroying residential buildings. Casualties unknown.",0,,Residential
UKR214855,2025-03-19,2025,1,Political violence,Explosions/Remote violence,Shelling/artillery/missile attack,Military Forces of Russia (2000-),,External/Other forces,,,,External/Other forces only,,804,12,Ukraine,Sumy,Sumskyi,Sadivska,Sad,50.881,34.711,2,Suspilne Media,National,"On 19 March 2025, Russian forces shelled Sad territorial community, Sumy. Two private residential buildings were damaged as a result of a missile strike. Casualties unknown.",0,,Residential
UKR213855,2025-03-18,2025,1,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of Russia (2000-) Air Force,,External/Other forces,,,,External/Other forces only,,804,12,Ukraine,Chernihiv,Novhorod-Siverskyi,Semenivska,Ivanivka,52.142,32.697,1,Ministry of Defence of Ukraine,Other,"On 18 March 2025, Russian Forces launched suspected Shahed drone strikes at Ivanivka, Chernihiv, damaging a house. Casualties unknown.",0,,Residential
UKR213865,2025-03-18,2025,1,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of Russia (2000-) Air Force,,External/Other forces,,,,External/Other forces only,,804,12,Ukraine,Kyiv City,Kyiv,,Kyiv - Desnianskyi,50.51,30.672,1,24 Channel; Flot 2017; Institute for the Study of War; Novoye Vremya Ukraine; Sprotyv; Suspilne Media; Ukrinform,Other-National,"On 18 March 2025, Russian drones strikes and the fallen drone debris caused fire on a territory of a school in Kyiv - Desnianskyi, Kyiv. No casualties.",0,,Education
UKR213867,2025-03-18,2025,1,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of Russia (2000-) Air Force,,External/Other forces,,,,External/Other forces only,,804,12,Ukraine,Chernihiv,Prylutskyi,Lynovytska,Lynovytsia,50.464,32.398,1,Ministry of Defence of Ukraine,Other,"On 18 March 2025, Russian drone strikes and the fallen drone debris damaged 8 houses in Lynovytsia, Chernihiv. Casualties unknown.",0,,Residential
UKR213881,2025-03-18,2025,1,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of Russia (2000-) Air Force,,External/Other forces,,,,External/Other forces only,,804,12,Ukraine,Donetsk,Kramatorskyi,Illinivska,Oleksandro-Kalynove,48.413,37.673,1,Liveuamap,Local partner-New media,"On 18 March 2025, Russian Forces launched air strikes at Oleksandro-Kalynove, Donetsk, causing power outages. Casualties unknown.",0,,Energy
UKR213884,2025-03-18,2025,1,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of Russia (2000-) Air Force,,External/Other forces,,,,External/Other forces only,,804,12,Ukraine,Poltava,Poltavskyi,Poltavska,Poltava,49.594,34.541,3,24 Channel; Flot 2017; Institute for the Study of War; Novoye Vremya Ukraine; Sprotyv; Suspilne Media; Ukrinform,Other-National,"On 18 March 2025, Russian drone strikes and the fallen drone debris damaged 2 houses and an outbuilding in Poltava region (coded to Poltava, Poltava). No casualties.",0,,Residential
UKR213888,2025-03-18,2025,1,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of Russia (2000-) Air Force,,External/Other forces,Civilians (Ukraine),,Civilians,External/Other forces-Civilians,Civilian targeting,804,12,Ukraine,Chernihiv,Novhorod-Siverskyi,Semenivska,Semenivka,52.178,32.582,1,Ministry of Defence of Ukraine; Suspilne Media; ZMINA,Other-National,"On 18 March 2025, Russian Forces launched air strikes, with suspected KAB bombs, and suspected FPV drone strikes at Semenivka, Chernihiv, damaging around 30 houses and a car. 1 civilian was injured.",0,,Residential
UKR213889,2025-03-18,2025,1,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of Russia (2000-) Air Force,,External/Other forces,,,,External/Other forces only,,804,12,Ukraine,Sumy,Shostkynskyi,Seredyno-Budska,Seredyna-Buda,52.189,34.036,1,Ministry of Defence of Ukraine,Other,"On 18 March 2025, Russian Forces launched drone strikes, including with suspected FPV drones, at Seredyna-Buda, Sumy, damaging a house. Casualties unknown.",0,,Residential
UKR213891,2025-03-18,2025,1,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of Russia (2000-) Air Force,,External/Other forces,Civilians (Ukraine),Labor Group (Ukraine),Civilians,External/Other forces-Civilians,Civilian targeting,804,12,Ukraine,Donetsk,Kramatorskyi,Slovianska,Slovyansk,48.853,37.606,1,Liveuamap,Local partner-New media,"On 18 March 2025, Russian Forces struck Slovyansk, Donetsk, with glide bombs, causing power outages in the city. In the second strike, Russia targeted Ukrainian railways' firefighters that arrived at the scene. Casualties unknown.",0,,Energy
UKR213893,2025-03-18,2025,1,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of Russia (2000-) Air Force,,External/Other forces,,,,External/Other forces only,,804,12,Ukraine,Sumy,Sumskyi,Sumska,Sumy,50.922,34.8,1,24 Channel; Flot 2017; Institute for the Study of War; Liveuamap; Sprotyv; Suspilne Media; Ukrinform,Local partner-New media,"On 18 March 2025, Russian drones strikes and the fallen drone debris damaged a medical facility and cars in Sumy, Sumy. No casualties.",0,,Health
UKR213903,2025-03-18,2025,1,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of Russia (2000-) Air Force,,External/Other forces,,,,External/Other forces only,,804,12,Ukraine,Donetsk,Kramatorskyi,Illinivska,Yablunivka,48.423,37.66,1,Liveuamap,Local partner-New media,"On 18 March 2025, Russian Forces launched air strikes at Yablunivka, Donetsk, causing power outages. Casualties unknown.",0,,Energy
UKR214785,2025-03-18,2025,1,Political violence,Explosions/Remote violence,Shelling/artillery/missile attack,Military Forces of Russia (2000-),,External/Other forces,,,,External/Other forces only,,804,12,Ukraine,Kherson,Khersonskyi,Khersonska,Kherson,46.656,32.618,1,Suspilne Media,National,"On 18 March 2025, Russian Forces shelled Kherson, Kherson, with artillery, damaging an apartment building. Casualties unknown.",0,,Residential
UKR214809,2025-03-18,2025,1,Political violence,Explosions/Remote violence,Shelling/artillery/missile attack,Military Forces of Russia (2000-),,External/Other forces,Civilians (Ukraine),,Civilians,External/Other forces-Civilians,Civilian targeting,804,12,Ukraine,Sumy,Sumskyi,Krasnopilska,Uhroyidy,50.863,35.278,1,Ministry of Defence of Ukraine,Other,"On 18 March 2025, Russian Forces shelled Uhroyidy, Sumy, with suspected 152mm artillery, damaging an apartment building, a gas pipeline and an outbuilding. 1 civilian was killed and 2 civilians were injured.",1,,Energy
UKR213790,2025-03-17,2025,1,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of Ukraine (2019-) Air Force,Military Forces of Ukraine (2019-),State forces,Military Forces of Russia (2000-) 1st Donetsk Army Corps,Civilians (Ukraine); Police Forces of Russian Occupation Government (2022-) State Emergency Service,External/Other forces,State forces-External/Other forces,,804,12,Ukraine,Donetsk,Horlivskyi,Horlivska,Horlivka,48.313,38.042,1,DPR Armed Forces Press Service,Other,"On 17 March 2025, according to 'DPR' sources, Ukrainian forces dropped drone-borne explosives on 2 'DPR's emergency service specialists in the Russian-held Horlivka, Donetsk. They sustained injuries and admitted to a hospital. In another instance, Ukrainian forces fired 155mm artillery, with cluster submunition (targeting 'DPR' forces). As a result of shelling, 1 private house was damaged and 1 civilian man (a 61-year-old) was wounded.",0,,Residential
UKR213793,2025-03-17,2025,1,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of Russia (2000-) Air Force,,External/Other forces,Civilians (Ukraine),,Civilians,External/Other forces-Civilians,Civilian targeting,804,12,Ukraine,Kherson,Khersonskyi,Khersonska,Kherson,46.656,32.618,1,Ministry of Defence of Ukraine; Suspilne Media,Other-National,"On 17 March 2025, Russian Forces carried out air strikes on critical infrastructure in Kherson city, Kherson. Several private houses and a car were damaged. In another instance, a Russian FPV-kamikaze drone struck a local 56-year-old civilian man, killing him on the spot.",1,,Residential
UKR213798,2025-03-17,2025,1,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of Russia (2000-) Air Force,,External/Other forces,,,,External/Other forces only,,804,12,Ukraine,Sumy,Shostkynskyi,Esmanska,Kucherivka,51.735,34.188,1,Suspilne Media,National,"On 17 March 2025, Russian Forces carried out an FPV-kamikaze drone strikes at a private (abandoned) house in Kucherivka, Sumy. The house caught on fire. No casualties.",0,,Residential
UKR213807,2025-03-17,2025,1,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of Russia (2000-) Air Force,Military Forces of Russia (2000-),External/Other forces,,,,External/Other forces only,,804,12,Ukraine,Dnipropetrovsk,Nikopolskyi,Marhanetska,Marhanets,47.635,34.628,2,Suspilne Media,National,"On 17 March 2025, Russian Forces carried out drone strikes and shelled unidentified targets in the Marhanetska community (coded to Marhanets, Dnipropetrovsk). As a result, 1 private house, an unused building, and car garages were damaged. Also, dry grass was burned. No casualties.",0,,Residential
UKR213810,2025-03-17,2025,1,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of Russia (2000-) Air Force,,External/Other forces,Civilians (Ukraine),,Civilians,External/Other forces-Civilians,Civilian targeting,804,12,Ukraine,Kharkiv,Kharkivskyi,Merefianska,Merefa,49.823,36.051,1,24 Channel; Flot 2017,National,"On 17 March 2025, Russian Forces launched drone strikes at Merefa, Kharkiv, destroying the AES Group's oil processing plant and injuring a security guard. The strike was the fourth attack on the plant since the full-scale invasion began.",0,,Energy
UKR213816,2025-03-17,2025,1,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of Russia (2000-) Air Force,,External/Other forces,Civilians (Ukraine),,Civilians,External/Other forces-Civilians,Civilian targeting,804,12,Ukraine,Odesa,Odeskyi,Odeska,Odesa,46.464,30.739,2,Suspilne Media,National,"On 17 March 2025, at night, Russian Forces carried out drone strikes at unidentified targets in the Odeskyi district (coded to Odesa, Odesa). As a result, the civilian and energy infrastructure were damaged leaving 500 households without power. 1 civilian was injured.",0,,Energy; Residential
UKR213823,2025-03-17,2025,1,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of Russia (2000-) Air Force,Military Forces of Russia (2000-),External/Other forces,,,,External/Other forces only,,804,12,Ukraine,Dnipropetrovsk,Nikopolskyi,Pokrovska,Pokrovske,47.543,34.155,2,Suspilne Media,National,"On 17 March 2025, Russian Forces carried out drone strikes and shelled unidentified targets in the Pokrovska community (coded to Pokrovske, Dnipropetrovsk). As a result, 1 private house, an unused building, and car garages were damaged. Alos, dry grass was burned. No casualties.",0,,Residential
UKR213827,2025-03-17,2025,1,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of Russia (2000-) Air Force,,External/Other forces,Civilians (Ukraine),,Civilians,External/Other forces-Civilians,Civilian targeting,804,12,Ukraine,Kharkiv,Bohodukhivskyi,Zolochivska,Ryasne,50.272,35.796,1,Ministry of Defence of Ukraine,Other,"On 17 March 2025, Russian Forces carried out FPV-kamikaze drone strikes and dropped drone-borne explosives on unidentified targets in Ryasne, Kharkiv. 3 private houses were damaged and 1 civilian wounded.",0,,Residential
UKR213838,2025-03-17,2025,1,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of Russia (2000-) Air Force,,External/Other forces,,,,External/Other forces only,,804,12,Ukraine,Sumy,Okhtyrskyi,Velykopysarivska,Velyka Pysarivka,50.424,35.48,1,Ministry of Defence of Ukraine,Other,"On 17 March 2025, Russian Forces carried out FPV-kamikaze drone strikes on unidentified targets in Velyka Pysarivka, Sumy. 2 private houses were damaged. Casualties unknown.",0,,Residential
UKR214759,2025-03-17,2025,1,Political violence,Explosions/Remote violence,Shelling/artillery/missile attack,Military Forces of Russia (2000-),,External/Other forces,Civilians (Ukraine),,Civilians,External/Other forces-Civilians,Civilian targeting,804,12,Ukraine,Donetsk,Pokrovskyi,Pokrovska,Pokrovsk,48.281,37.181,1,Ministry of Defence of Russia; Suspilne Media,National-Regional,"On 17 March 2025, Russian Forces shelled Pokrovsk, Donetsk, wounding 3 children.",0,,Education
UKR214766,2025-03-17,2025,1,Political violence,Explosions/Remote violence,Shelling/artillery/missile attack,Military Forces of Russia (2000-),,External/Other forces,,,,External/Other forces only,,804,12,Ukraine,Sumy,Sumskyi,Krasnopilska,Uhroyidy,50.863,35.278,1,Ministry of Defence of Ukraine,Other,"On 17 March 2025, Russian Forces shelled unidentified targets in Uhroyidy, Sumy, with suspected MLRS and 152mm artillery. 1 private house was damaged. Casualties unknown.",0,,Residential
