EVENT_ID_CNTY,EVENT_DATE,YEAR,TIME_PRECISION,DISORDER_TYPE,EVENT_TYPE,SUB_EVENT_TYPE,ACTOR1,ASSOC_ACTOR_1,INTER1,ACTOR2,ASSOC_ACTOR_2,INTER2,INTERACTION,CIVILIAN_TARGETING,ISO,REGION,COUNTRY,ADMIN1,ADMIN2,ADMIN3,LOCATION,LATITUDE,LONGITUDE,GEO_PRECISION,SOURCE,SOURCE_SCALE,NOTES,FATALITIES,TAGS,TAGS_INFRASTRUCTURE
UKR152559,2024-03-14,2024,1,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of Russia (2000-) Air Force,,External/Other forces,Civilians (Ukraine),,Civilians,External/Other forces-Civilians,Civilian targeting,804,12,Ukraine,Vinnytsia,Vinnytskyi,Vinnytska,Vinnytsia,49.23,28.466,3,Novoye Vremya Ukraine; Suspilne Media,National,"On 14 March 2024, Russian force launched a drone strike at Vinnytsia region (coded to Vinnytsia, Vinnytsia region), hitting a residential house. 2 civilians were killed.",2,,Residential
UKR169811,2024-03-14,2024,1,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of Russia (2000-) Air Force,,External/Other forces,,,,External/Other forces only,,804,12,Ukraine,Sumy,Okhtyrskyi,Velykopysarivska,Velyka Pysarivka,50.424,35.48,1,Centre for Information Resilience,New media,"On 14 March 2024, Russian forces conducted an airstrike with FAB-500 air-dropped bombs on Velyka Pysarivka, Sumy region, destroying a bridge and residential apartments. Casualties unknown.",0,,Residential
UKR176129,2024-03-14,2024,1,Political violence,Explosions/Remote violence,Shelling/artillery/missile attack,Military Forces of Russia (2000-),,External/Other forces,,,,External/Other forces only,,804,12,Ukraine,Sumy,Sumskyi,Bilopilska,Stari Vyrky,51.222,34.221,1,Ministry of Defence of Ukraine,Other,"On 14 March 2024, Russian forces fired artillery at Stari Vyrky, Sumy. One private house was damaged. Casualties unknown.",0,,Residential
UKR152364,2024-03-13,2024,1,Political violence,Explosions/Remote violence,Shelling/artillery/missile attack,Military Forces of Ukraine (2019-),,State forces,Military Forces of Russia (2000-) 1st Donetsk Army Corps,,External/Other forces,State forces-External/Other forces,,804,12,Ukraine,Donetsk,Donetskyi,Donetska,Donetsk - Petrovskyi,47.95,37.614,1,DPR Armed Forces Press Service,Other,"On 13 March 2024, Ukrainian Forces shelled Russian DPR forces in Donetsk - Petrovskyi, Donetsk, with 155mm artillery, damaging gas pipeline. Casualties unknown.",0,,Energy
UKR152417,2024-03-13,2024,1,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of Russia (2000-) Air Force,,External/Other forces,Civilians (Ukraine),,Civilians,External/Other forces-Civilians,Civilian targeting,804,12,Ukraine,Sumy,Sumskyi,Sumska,Sumy,50.922,34.8,1,24 Channel; Sprotyv; Stop Corruption; Suspilne Media; Ukrinform; Unian; ZMINA,Other-National,"On 13 March 2024, Russian Forces launched drone strikes on Sumy city, Sumy, damaging an apartment building. 3 civilians were killed, 14 civilians were injured.",3,,Residential
UKR152430,2024-03-13,2024,1,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of Russia (2000-) Air Force,,External/Other forces,Civilians (Ukraine),,Civilians,External/Other forces-Civilians,Civilian targeting,804,12,Ukraine,Kharkiv,Chuhuivskyi,Vovchanska,Vovchansk,50.291,36.941,2,24 Channel; Ministry of Defence of Ukraine; Sprotyv; Suspilne Media; Ukrinform; ZMINA,Other-National,"On 13 March 2024, Russian Forces launched air strikes in the area of Vovchansk, Kharkiv, damaging residential buildings and a shop. 1 civilian was injured.",0,,Residential
UKR169810,2024-03-13,2024,1,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of Ukraine (2019-) Air Force,,State forces,Military Forces of Russia (2000-),,External/Other forces,State forces-External/Other forces,,804,12,Ukraine,Kherson,Khersonskyi,Oleshkivska,Kozachi Laheri,46.703,32.981,1,Centre for Information Resilience,New media,"On 13 March 2024, Ukrainian forces hit with a drone a school building housing Russian military equipment in Kozachi Laheri, Kherson region. Casualties unknown.",0,,Education
UKR152287,2024-03-12,2024,1,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of Russia (2000-) Air Force,,External/Other forces,,,,External/Other forces only,,804,12,Ukraine,Kharkiv,Kupianskyi,Kupianska,Kupiansk,49.711,37.615,1,24 Channel; Ministry of Defence of Ukraine,Other-National,"On 12 March 2024, Russian air forces carried out airstrikes at Kupiansk, Kharkiv, hitting a residential building. There were no casualties.",0,,Residential
UKR152351,2024-03-12,2024,1,Political violence,Explosions/Remote violence,Shelling/artillery/missile attack,Military Forces of Russia (2000-),,External/Other forces,,,,External/Other forces only,,804,12,Ukraine,Sumy,Shostkynskyi,Znob-Novhorodska,Znob-Novhorodske,52.263,33.602,2,Suspilne Media,National,"On 12 March 2024, Russian forces shelled Znob-Novhorodske territorial community, Sumy, damaging residential buildings and an educational institutions. Casualties unknown.",0,,Education; Residential
UKR176007,2024-03-12,2024,1,Political violence,Explosions/Remote violence,Shelling/artillery/missile attack,Military Forces of Russia (2000-),,External/Other forces,,,,External/Other forces only,,804,12,Ukraine,Sumy,Okhtyrskyi,Trostianetska,Buimer,50.529,34.775,1,Ministry of Defence of Ukraine,Other,"On 12 March 2024, Russian forces carried out a missile strike at Buimer, Sumy. As a result of the strike, one administrative building, civilian infrastructure and several private houses were damaged. No casualties.",0,,Residential
UKR152287,2024-03-12,2024,1,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of Russia (2000-) Air Force,,External/Other forces,,,,External/Other forces only,,804,12,Ukraine,Kharkiv,Kupianskyi,Kupianska,Kupiansk,49.711,37.615,1,24 Channel; Ministry of Defence of Ukraine,Other-National,"On 12 March 2024, Russian air forces carried out airstrikes at Kupiansk, Kharkiv, hitting a residential building. There were no casualties.",0,,Residential
UKR152151,2024-03-11,2024,1,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of Ukraine (2019-) Air Force,,State forces,Military Forces of Russia (2000-) 1st Donetsk Army Corps,Civilians (Ukraine); Labor Group (Ukraine),External/Other forces,State forces-External/Other forces,,804,12,Ukraine,Donetsk,Donetskyi,Donetska,Donetsk - Petrovskyi,47.95,37.614,1,DPR Armed Forces Press Service,Other,"On 11 March 2024, Ukrainian forces conducted a drone strike on an unidentified target (coded as Donetsk People's Militia) in Donetsk - Petrovskyi, Donetsk. Two members of the regional electrical network were injured.",0,,Energy
UKR152165,2024-03-11,2024,1,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of Russia (2000-) Air Force,,External/Other forces,,,,External/Other forces only,,804,12,Ukraine,Kharkiv,Kharkivskyi,Kharkivska,Kharkiv,49.981,36.253,2,24 Channel,National,"On 11 March 2024, Russian forces conducted a Shahed drone strike on Kharkiv, Kharkiv which damaged a residential building, unidentified infrastructure object, and a public building. Casualties unknown.",0,,Residential
UKR152196,2024-03-11,2024,1,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of Russia (2000-) Air Force,,External/Other forces,,,,External/Other forces only,,804,12,Ukraine,Odesa,Odeskyi,Odeska,Odesa,46.464,30.739,1,24 Channel,National,"On 11 March 2024, Russian forces conducted a Shahed drone strike on Odesa, Odesa which damaged a residential building. Casualties unknown.",0,,Residential
UKR169809,2024-03-11,2024,1,Political violence,Explosions/Remote violence,Shelling/artillery/missile attack,Military Forces of Ukraine (2019-),,State forces,,,,State forces only,,804,12,Ukraine,Donetsk,Pokrovskyi,Ocheretynska,Betmanove,48.193,37.917,1,Centre for Information Resilience,New media,"On 11 March 2024, Ukrainian forces shelled and damaged a school building in Betmanove, Donetsk region. No casualties.",0,,Education
UKR175617,2024-03-11,2024,1,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of Russia (2000-) Air Force,Military Forces of Russia (2000-),External/Other forces,,,,External/Other forces only,,804,12,Ukraine,Sumy,Okhtyrskyi,Velykopysarivska,Kopiiky,50.363,35.401,1,Ministry of Defence of Ukraine,Other,"On 11 March 2024, Russian forces carried out airstrikes and fired artillery and MLRS at Kopiiky, Sumy. 2 private houses were damaged. There were no casualties.",0,,Residential
